id,price,bedrooms,bathrooms,sqft,fullAddress,listing_url,image_url
M94892-32074,"$340,000",3,2.5,2509,"3966 Lake Manor Way, Atlanta, GA 30349",https://www.realtor.com/realestateandhomes-detail/3966-Lake-Manor-Way_Atlanta_GA_30349_M94892-32074?ex=GA2934389751,https://www.compass.com/m2/482824a8c7c0b947cb9e441c4bf464fc771640b7_img_0/origin.jpg
M52035-45330,"$339,000",3,2,1582,"2117 Beecher Cir SW, Atlanta, GA 30311",https://www.realtor.com/realestateandhomes-detail/2117-Beecher-Cir-SW_Atlanta_GA_30311_M52035-45330?ex=GA2934365996,https://ssl.cdn-redfin.com/photo/82/bigphoto/306/6945306_0.jpg
M53022-18025,"$339,900",4,2.5,2138,"90 Park Ave SE, Atlanta, GA 30315",https://www.realtor.com/realestateandhomes-detail/90-Park-Ave-SE_Atlanta_GA_30315_M53022-18025,https://ssl.cdn-redfin.com/photo/82/bigphoto/587/6945587_0.jpg
M59634-38833,"$535,000",4,2.5,2778,"1629 Manhasset Farm Ct, Atlanta, GA 30338",https://www.realtor.com/realestateandhomes-detail/1629-Manhasset-Farm-Ct_Dunwoody_GA_30338_M59634-38833,https://ssl.cdn-redfin.com/photo/82/bigphoto/457/6945457_0.jpg
M69326-01604,"$489,900",3,2,1371,"839 Clifton Rd SE, Atlanta, GA 30316",https://www.realtor.com/realestateandhomes-detail/839-Clifton-Rd-SE_Atlanta_GA_30316_M69326-01604,https://ssl.cdn-redfin.com/photo/82/bigphoto/480/6945480_0.jpg
M66129-66540,"$200,000",4,3,3387,"1336 Pasadena Ave NE, Atlanta, GA 30306",https://www.realtor.com/realestateandhomes-detail/1336-Pasadena-Ave-NE_Atlanta_GA_30306_M66129-66540,https://ssl.cdn-redfin.com/photo/82/bigphoto/900/6943900_0.jpg
M68757-71041,"$465,000",3,2,1356,"917 Stokeswood Ave SE, Atlanta, GA 30316",https://www.realtor.com/realestateandhomes-detail/917-Stokeswood-Ave-SE_Atlanta_GA_30316_M68757-71041,https://ssl.cdn-redfin.com/photo/82/bigphoto/900/6943900_0.jpg
M58134-64080,"$435,000",3,2,1296,"14876 SW 96th Ter, Miami, FL 33196",https://www.realtor.com/realestateandhomes-detail/14876-SW-96th-Ter_Miami_FL_33196_M58134-64080,https://ssl.cdn-redfin.com/photo/105/bigphoto/400/A11099400_0.jpg
M54754-87875,"$390,000",4,2,1200,"11465 SW 226th St, Miami, FL 33170",https://www.realtor.com/realestateandhomes-detail/11465-SW-226th-St_Miami_FL_33170_M54754-87875,https://ssl.cdn-redfin.com/photo/105/bigphoto/617/A11095617_0.jpg
M57855-37368,"$984,000",3,2.5,1989,"5401 SW 64th Ave, Miami, FL 33155",https://www.realtor.com/realestateandhomes-detail/5401-SW-64th-Ave_Miami_FL_33155_M57855-37368,https://ssl.cdn-redfin.com/photo/105/bigphoto/966/A11094966_1.jpg
M10127-12553,"$300,000",3,2.5,1230,"6261 Peneplain Ave, Las Vegas, NV 89139",https://www.realtor.com/realestateandhomes-detail/6261-Peneplain-Ave_Las-Vegas_NV_89139_M10127-12553,https://ssl.cdn-redfin.com/photo/95/bigphoto/704/2326704_3.jpg
M17718-05433,"$340,000",3,2.5,1373,"7420 Clifton Gardens St, Las Vegas, NV 89166",https://www.realtor.com/realestateandhomes-detail/7420-Clifton-Gardens-St_Las-Vegas_NV_89166_M17718-05433,https://ssl.cdn-redfin.com/photo/95/bigphoto/138/2333138_0.jpg
M15551-41091,"$599,900",4,2.5,3050,"6032 Cottontail Cove St, Las Vegas, NV 89130",https://www.realtor.com/realestateandhomes-detail/6032-Cottontail-Cove-St_Las-Vegas_NV_89130_M15551-41091,https://ssl.cdn-redfin.com/photo/95/bigphoto/564/2332564_0.jpg
